date,location,river,basin,latitude,longitude,elevation_m,DHM Station ,precipitation_mm,soil_moisture_0_100cm_m3m3,rain_mm,temperature_mean_c,dew_point_mean_c,precipitation_hours,relative_humidity_mean_pct,wind_speed_max_kmh,wind_gusts_max_kmh,wind_direction_dominant_deg,river_discharge_m3s
13-01-2023,Belsot,Kamala,Kamala,26.912863,86.24833,188,595.5,0,0,0,0.201,13.9,9,74,8.5,22.7,219,11.91
13-01-2023,Bhada Bridge,Babai,Babai,28.188822,81.36565,157,291,0,0,0,0.272,13.5,10.5,83,9.9,18,86,0.28
13-01-2023,Chameliya/Nayalbadi,Chamelia,Mahakali,29.67442,80.56268,685,120,0.7,0.7,2,0.433,12.7,6.4,67,6.5,25.2,24,16.58
13-01-2023,Chatara,Saptakoshi,Koshi,26.855192,87.152283,153,695,0,0,0,0.243,14.1,8.4,70,6,17.6,23,0.23
13-01-2023,Chisapani,Karnali,Karnali,28.653056,81.286944,2215,280,0,0,0,0.292,14.1,9.3,76,8.7,24.8,47,0.28
13-01-2023,Devghat,Narayani,Narayani/Gandak,27.71,84.43,603,450,0,0,0,0.252,13.1,5.5,62,7,15.1,4,0.85
13-01-2023,Khokana,Bagmati,Bagmati,27.632222,85.293333,1315,550.05,0,0,0,0.224,12.2,2.1,52,9.7,28.8,301,0
13-01-2023,Kusum,West Rapti,Rapti,28.0075,82.093889,6367,375,0,0,0,0.126,14.8,8.8,69,6.9,23,12,21.44
13-01-2023,Rasuwagadhi,Bhote Koshi,Narayani,28.271297,85.377649,1749,446.22,0,0,0,0.31,13.3,-4.5,32,14,74.2,185,0.17
14-01-2023,Bahrabise,Bhote Koshi,Koshi,27.786773,85.899324,1870,610,0,0,0,0.292,12.4,2,51,6.2,25.2,48,0.89
14-01-2023,Belsot,Kamala,Kamala,26.912863,86.24833,188,595.5,0,0,0,0.2,14.4,10.8,81,11.5,25.9,261,11.91
14-01-2023,Bhada Bridge,Babai,Babai,28.188822,81.36565,157,291,0,0,0,0.268,15,11.8,82,13.7,23.8,291,0.28
14-01-2023,Chameliya/Nayalbadi,Chamelia,Mahakali,29.67442,80.56268,685,120,0,0,0,0.445,13.2,3.2,52,7.2,19.1,76,16.46
14-01-2023,Chatara,Saptakoshi,Koshi,26.855192,87.152283,153,695,0,0,0,0.235,14.6,10.2,77,7.3,20.5,63,0.23
14-01-2023,Chisapani,Karnali,Karnali,28.653056,81.286944,2215,280,0,0,0,0.29,15.1,10.5,77,9.2,24.5,27,0.28
14-01-2023,Devghat,Narayani,Narayani/Gandak,27.71,84.43,603,450,0,0,0,0.257,15.1,9.6,71,6.9,16.9,323,0.85
14-01-2023,Khokana,Bagmati,Bagmati,27.632222,85.293333,1315,550.05,0,0,0,0.224,10.7,3.2,62,10.8,31.3,280,0
14-01-2023,Kusum,West Rapti,Rapti,28.0075,82.093889,6367,375,0,0,0,0.126,15.9,11,75,11.9,32.4,297,21.39
14-01-2023,Rasuwagadhi,Bhote Koshi,Narayani,28.271297,85.377649,1749,446.22,0,0,0,0.309,15.4,-6.8,22,17.7,76.3,176,0.17
15-01-2023,Bahrabise,Bhote Koshi,Koshi,27.786773,85.899324,1870,610,0,0,0,0.294,12.2,5.9,69,8.7,24.8,164,0.89
15-01-2023,Belsot,Kamala,Kamala,26.912863,86.24833,188,595.5,0,0,0,0.195,14.3,11.4,84,15.1,32,270,11.88
15-01-2023,Bhada Bridge,Babai,Babai,28.188822,81.36565,157,291,0,0,0,0.264,12.4,10,86,13.3,24.1,286,0.28
15-01-2023,Chameliya/Nayalbadi,Chamelia,Mahakali,29.67442,80.56268,685,120,0,0,0,0.448,12.6,3.6,56,6.5,17.3,93,16.3
15-01-2023,Chatara,Saptakoshi,Koshi,26.855192,87.152283,153,695,0.3,0.3,3,0.228,14.4,11.8,85,11.3,26.3,177,0.23
15-01-2023,Chisapani,Karnali,Karnali,28.653056,81.286944,2215,280,0.3,0.3,3,0.294,12.7,11.8,94,6.6,22,201,0.28
15-01-2023,Devghat,Narayani,Narayani/Gandak,27.71,84.43,603,450,0,0,0,0.26,13.7,10.9,84,11.5,24.5,278,0.85
15-01-2023,Khokana,Bagmati,Bagmati,27.632222,85.293333,1315,550.05,0,0,0,0.219,10.2,5.6,76,10,30.2,288,0
15-01-2023,Kusum,West Rapti,Rapti,28.0075,82.093889,6367,375,0.2,0.2,2,0.124,12.9,11.2,90,10.2,27.4,302,21.28
15-01-2023,Rasuwagadhi,Bhote Koshi,Narayani,28.271297,85.377649,1749,446.22,0,0,0,0.308,14,-9.4,21,16,75.2,170,0.17
16-01-2023,Bahrabise,Bhote Koshi,Koshi,27.786773,85.899324,1870,610,0,0,0,0.293,11.9,6.4,71,7.3,24.8,175,0.89
16-01-2023,Belsot,Kamala,Kamala,26.912863,86.24833,188,595.5,0,0,0,0.197,13.1,9.6,81,13.2,29.9,266,11.88
16-01-2023,Bhada Bridge,Babai,Babai,28.188822,81.36565,157,291,0,0,0,0.26,11.8,8,79,9.2,14.8,290,0.28
16-01-2023,Chameliya/Nayalbadi,Chamelia,Mahakali,29.67442,80.56268,685,120,0,0,0,0.445,11.7,2.9,56,6.9,16.2,85,16.02
16-01-2023,Chatara,Saptakoshi,Koshi,26.855192,87.152283,153,695,0.1,0.1,1,0.229,14.5,10.6,78,8.7,23.4,169,0.23
16-01-2023,Chisapani,Karnali,Karnali,28.653056,81.286944,2215,280,0.7,0.7,4,0.294,11.8,9.4,86,6.1,20.2,140,0.28
16-01-2023,Devghat,Narayani,Narayani/Gandak,27.71,84.43,603,450,0,0,0,0.258,13.9,10.4,80,9.1,19.1,268,0.83
16-01-2023,Khokana,Bagmati,Bagmati,27.632222,85.293333,1315,550.05,0,0,0,0.221,8.8,5.2,81,10.3,30.2,309,0
16-01-2023,Kusum,West Rapti,Rapti,28.0075,82.093889,6367,375,0,0,0,0.125,13,9.3,79,9.8,24.8,309,21.23
16-01-2023,Rasuwagadhi,Bhote Koshi,Narayani,28.271297,85.377649,1749,446.22,0,0,0,0.306,13.3,-8.4,23,15.4,82.1,180,0.17
