date,season,competition,stage,team,opponent,venue,stadium,city,country,goals,assists,club_or_country,career_goals,career_assists,career_goal_contributions
2025-07-10,2025,Major League Soccer,League Matchday,Inter Miami CF,New England,Away,Gillette Stadium,Foxborough,USA,2,0,Inter Miami CF,624,271,895
2025-07-13,2025,Major League Soccer,League Matchday,Inter Miami CF,Nashville SC,Home,Chase Stadium,Fort Lauderdale,USA,2,0,Inter Miami CF,626,271,897
2025-07-19,2025,Major League Soccer,League Matchday,Inter Miami CF,New York Red Bulls,Away,Red Bull Arena,Harrison,USA,2,1,Inter Miami CF,628,272,900
2025-07-30,2025,Leagues Cup,Group,Inter Miami CF,Atlas,Home,Chase Stadium,Fort Lauderdale,USA,0,2,Inter Miami CF,628,274,902
2025-08-16,2025,Major League Soccer,League Matchday,Inter Miami CF,LA Galaxy,Home,Chase Stadium,Fort Lauderdale,USA,1,1,Inter Miami CF,629,275,904
2025-08-27,2025,Leagues Cup,SF,Inter Miami CF,Orlando City,Home,Chase Stadium,Fort Lauderdale,USA,2,0,Inter Miami CF,631,275,906
2025-09-04,2025,CONMEBOL World Cup Qualifiers,N/A,Argentina,Venezuela,Home,Estadio Monumental,Buenos Aires,Argentina,2,0,Argentina,633,275,908
2025-09-16,2025,Major League Soccer,League Matchday,Inter Miami CF,Seattle Sounders,Home,Chase Stadium,Fort Lauderdale,USA,1,1,Inter Miami CF,634,276,910
2025-09-20,2025,Major League Soccer,League Matchday,Inter Miami CF,DC United,Home,Chase Stadium,Fort Lauderdale,USA,2,1,Inter Miami CF,636,277,913
2025-09-24,2025,Major League Soccer,League Matchday,Inter Miami CF,New York City,Away,Yankee Stadium,New York,USA,2,1,Inter Miami CF,638,278,916
2025-10-04,2025,Major League Soccer,League Matchday,Inter Miami CF,New England,Home,Chase Stadium,Fort Lauderdale,USA,0,3,Inter Miami CF,638,281,919
2025-10-12,2025,Major League Soccer,League Matchday,Inter Miami CF,Atlanta United,Home,Chase Stadium,Fort Lauderdale,USA,2,1,Inter Miami CF,640,282,922
2025-10-14,2025,International Friendly,N/A,Argentina,Puerto Rico,Neutral,Chase Stadium,Fort Lauderdale,USA,0,2,Argentina,640,284,924
2025-10-18,2025,Major League Soccer,League Matchday,Inter Miami CF,Nashville SC,Away,Geodis Park,Nashville,USA,3,1,Inter Miami CF,643,285,928
2025-10-24,2025,MLS Cup Playoffs,R16,Inter Miami CF,Nashville SC,Home,Chase Stadium,Fort Lauderdale,USA,2,0,Inter Miami CF,645,285,930
2025-11-01,2025,MLS Cup Playoffs,R16,Inter Miami CF,Nashville SC,Away,Geodis Park,Nashville,USA,1,0,Inter Miami CF,646,285,931
2025-11-08,2025,MLS Cup Playoffs,R16,Inter Miami CF,Nashville SC,Home,Chase Stadium,Fort Lauderdale,USA,2,1,Inter Miami CF,648,286,934
2025-11-14,2025,International Friendly,N/A,Argentina,Angola,Away,Estadio 11 de Novembro,Luanda,Angola,1,1,Argentina,649,287,936
2025-11-23,2025,MLS Cup Playoffs,QF,Inter Miami CF,FC Cincinnati,Away,TQL Stadium,Cincinnati,USA,1,3,Inter Miami CF,650,290,940
2025-11-29,2025,MLS Cup Playoffs,SF,Inter Miami CF,New York City,Home,Chase Stadium,Fort Lauderdale,USA,0,1,Inter Miami CF,650,291,941
2025-12-06,2025,MLS Cup Playoffs,Final,Inter Miami CF,Vancouver,Home,Chase Stadium,Fort Lauderdale,USA,0,2,Inter Miami CF,650,293,943
2026-03-01,2026,Major League Soccer,League Matchday,Inter Miami CF,Orlando City,Away,Inter&Co Stadium,Orlando,USA,2,0,Inter Miami CF,652,293,945
2026-03-07,2026,Major League Soccer,League Matchday,Inter Miami CF,DC United,Away,Audi Field,Washington D.C.,USA,1,0,Inter Miami CF,653,293,946
2026-03-18,2026,CONCACAF Champions Cup,R162L,Inter Miami CF,Nashville SC,Home,Chase Stadium,Fort Lauderdale,USA,1,0,Inter Miami CF,654,293,947
2026-03-22,2026,Major League Soccer,League Matchday,Inter Miami CF,New York City,Away,Yankee Stadium,New York,USA,1,0,Inter Miami CF,655,293,948
2026-03-31,2026,International Friendly,N/A,Argentina,Zambia,Home,Estadio Monumental,Buenos Aires,Argentina,1,0,Argentina,656,293,949
2026-04-04,2026,Major League Soccer,League Matchday,Inter Miami CF,Austin,Home,Chase Stadium,Fort Lauderdale,USA,1,0,Inter Miami CF,657,293,950
2026-04-18,2026,Major League Soccer,League Matchday,Inter Miami CF,Colorado Rapids,Away,Dick's Sporting Goods Park,Commerce City,USA,2,0,Inter Miami CF,659,293,952
2026-05-02,2026,Major League Soccer,League Matchday,Inter Miami CF,Orlando City,Home,Chase Stadium,Fort Lauderdale,USA,1,1,Inter Miami CF,660,294,954
2026-05-09,2026,Major League Soccer,League Matchday,Inter Miami CF,Toronto,Away,BMO Field,Toronto,Canada,1,2,Inter Miami CF,661,296,957
2026-05-13,2026,Major League Soccer,League Matchday,Inter Miami CF,FC Cincinnati,Away,TQL Stadium,Cincinnati,USA,2,1,Inter Miami CF,663,297,960
2026-05-17,2026,Major League Soccer,League Matchday,Inter Miami CF,Portland Timbers,Home,Chase Stadium,Fort Lauderdale,USA,1,1,Inter Miami CF,664,298,962
2026-05-24,2026,Major League Soccer,League Matchday,Inter Miami CF,Philadelphia Union,Home,Chase Stadium,Fort Lauderdale,USA,0,2,Inter Miami CF,664,300,964
2026-06-09,2026,International Friendly,N/A,Argentina,Iceland,Neutral,Jordan-Hare Stadium,Auburn,USA,1,0,Argentina,665,300,965
2026-06-16,2026,FIFA World Cup,group,Argentina,Algeria,Neutral,Arrowhead Stadium,Kansas City,USA,3,0,Argentina,668,300,968
2026-06-22,2026,FIFA World Cup,group,Argentina,Austria,Neutral,AT&T Stadium,Arlington,USA,2,0,Argentina,670,300,970
2026-06-27,2026,FIFA World Cup,group,Argentina,Jordan,Neutral,AT&T Stadium,Arlington,USA,1,0,Argentina,671,300,971
2026-07-03,2026,FIFA World Cup,R32,Argentina,Cape Verde,Neutral,Hard Rock Stadium,Miami Gardens,USA,1,0,Argentina,672,300,972
2026-07-07,2026,FIFA World Cup,R16,Argentina,Egypt,Neutral,Mercedes-Benz Stadium,Atlanta,USA,1,1,Argentina,673,301,974
2026-07-11,2026,FIFA World Cup,QF,Argentina,Switzerland,Neutral,Arrowhead Stadium,Kansas City,USA,0,1,Argentina,673,302,975
2026-07-15,2026,FIFA World Cup,SF,Argentina,England,Neutral,Mercedes-Benz Stadium,Atlanta,USA,0,2,Argentina,673,304,977
2026-08-05,2026,Leagues Cup,Group,Inter Miami CF,Atletico San Luis,Home,Nu Stadium,Miami,USA,2,0,Inter Miami CF,675,304,979
